Gene	CV
Zm00001d002871	23.7503597663352
Zm00001d002873	16.755925637596
Zm00001d002875	46.3508325808134
Zm00001d002876	16.9100012955183
Zm00001d002878	25.3435178776485
Zm00001d002880	15.6602857702849
Zm00001d002882	13.5837073899181
Zm00001d002884	28.3638803068931
Zm00001d002889	14.8382864969219
Zm00001d002890	22.5895798004668
Zm00001d002891	12.226914526497
Zm00001d002896	14.5741831722789
Zm00001d002897	58.1456866296342
Zm00001d002898	66.7901163139169
Zm00001d002899	53.8760260984765
Zm00001d002901	47.3654641847255
Zm00001d002905	31.8835743195053
Zm00001d002919	10.918882895275
Zm00001d002925	9.65446827189821
Zm00001d002928	22.4490622897478
Zm00001d002933	21.1594785014703
Zm00001d002934	29.0736651526267
Zm00001d002936	14.0838129927913
Zm00001d002938	12.1321629695988
Zm00001d002939	23.1242226440475
Zm00001d002941	33.0513370504963
Zm00001d002942	15.5525547660519
Zm00001d002943	14.3430759900405
Zm00001d002944	8.99836635838234
Zm00001d002945	9.88274127958306
Zm00001d002946	7.52497597715173
Zm00001d002950	27.8851837378296
Zm00001d002951	33.0368649537927
Zm00001d002953	13.142056473434
Zm00001d002956	27.0577717538574
Zm00001d002958	38.5156647405772
Zm00001d002961	12.2029263951605
Zm00001d002962	17.5251657174511
Zm00001d002964	26.9326518313864
Zm00001d002965	38.2992527772657
Zm00001d002966	23.8085587383078
Zm00001d002967	14.5761539622561
Zm00001d002969	15.0405045745451
Zm00001d002971	20.2357103751347
Zm00001d002974	46.9026540570762
Zm00001d002978	10.3016135465504
Zm00001d002980	15.4068108943753
Zm00001d002984	78.0216630113811
Zm00001d002992	19.9105310159184
Zm00001d002993	26.5818822174202
Zm00001d003002	19.3288806445785
Zm00001d003005	37.0402321527243
Zm00001d003006	43.6680850663196
Zm00001d003007	14.6753342472336
Zm00001d003009	34.9975054291638
Zm00001d003012	40.0079271184809
Zm00001d003014	15.5293401458696
Zm00001d003015	58.0919775016827
Zm00001d003016	34.6476474033781
Zm00001d003017	25.2411881108417
Zm00001d003024	28.5091343891214
Zm00001d003031	14.8315023832458
Zm00001d003033	16.1780785181282
Zm00001d003034	18.5567158318381
Zm00001d003035	36.9588060650158
Zm00001d003038	28.7525720233138
Zm00001d003039	42.0481641043164
Zm00001d003040	18.6646778039231
Zm00001d003041	30.0592316728995
Zm00001d003044	60.6096180021402
Zm00001d003048	54.2412378875582
Zm00001d003049	17.7893042484832
Zm00001d003050	26.0974261609219
Zm00001d003057	30.3679315681469
Zm00001d003058	37.2627713696325
Zm00001d003059	63.2308029975716
Zm00001d003062	19.3881790825399
Zm00001d003064	27.3273375146933
Zm00001d003066	16.397523984089
Zm00001d003067	46.2837988392196
Zm00001d003068	47.7859010425452
Zm00001d003071	18.7190061424405
Zm00001d003072	14.5469733683145
Zm00001d003076	12.7277220865046
Zm00001d003081	25.3585238908508
Zm00001d003083	12.7150043468279
Zm00001d003084	13.4821855972364
Zm00001d003085	25.5944056613642
Zm00001d003086	48.8714555757226
Zm00001d003087	14.9439305748901
Zm00001d003088	47.910990800915
Zm00001d003089	20.7826678888309
Zm00001d003091	54.6388060272825
Zm00001d003099	29.0628985184305
Zm00001d003101	21.4043551683098
Zm00001d003102	25.7601778053015
Zm00001d003103	13.777980472032
Zm00001d003104	33.069912179905
Zm00001d003106	9.5359167847139
Zm00001d003108	21.7240117761296
Zm00001d003109	16.1573802866055
Zm00001d003110	28.8161275679067
Zm00001d003112	23.2737773510117
Zm00001d003114	19.1348015929399
Zm00001d003116	22.2946912217931
Zm00001d003119	12.8889808910156
Zm00001d003123	13.2615837244748
Zm00001d003124	14.6309909966989
Zm00001d003125	16.6761040694824
Zm00001d003127	16.9671274393307
Zm00001d003129	22.9777444965348
Zm00001d003140	48.8099851285701
Zm00001d003142	47.6734393089681
Zm00001d003144	30.8672074674439
Zm00001d003147	13.2264497685422
Zm00001d003148	45.6514784959878
Zm00001d003157	23.2012057708571
Zm00001d003159	24.0152371018777
Zm00001d003161	33.6972591356264
Zm00001d003162	26.3047029035551
Zm00001d003164	24.1376497756873
Zm00001d003166	15.8006453297624
Zm00001d003172	31.3146674153178
Zm00001d003174	32.6955501296353
Zm00001d003176	8.96678551607274
Zm00001d003179	10.7038944569666
Zm00001d003180	16.6449537867563
Zm00001d003181	15.737927733803
Zm00001d003182	26.7198541750749
Zm00001d003190	76.2430983884839
Zm00001d003193	31.4522677318249
Zm00001d003195	31.1421213948193
Zm00001d003196	30.1752038398253
Zm00001d003197	33.7630625520548
Zm00001d003198	25.0018441654351
Zm00001d003200	17.2603563437543
